
Nombre de imagen               PID Servicios                                    
========================= ======== =============================================
svchost.exe                    996 BrokerInfrastructure, DcomLaunch, PlugPlay,  
                                   Power, SystemEventsBroker                    
svchost.exe                   1052 RpcEptMapper, RpcSs                          
svchost.exe                   1100 LSM                                          
svchost.exe                   1300 lmhosts                                      
svchost.exe                   1360 NcbService                                   
svchost.exe                   1368 ProfSvc                                      
svchost.exe                   1380 Schedule                                     
svchost.exe                   1388 TimeBrokerSvc                                
svchost.exe                   1524 hidserv                                      
svchost.exe                   1532 UserManager                                  
svchost.exe                   1540 EventSystem                                  
svchost.exe                   1692 EventLog                                     
svchost.exe                   1788 SENS                                         
svchost.exe                   1796 SEMgrSvc                                     
svchost.exe                   1908 CoreMessagingRegistrar                       
svchost.exe                   1936 nsi                                          
svchost.exe                   1976 Dhcp                                         
svchost.exe                   2104 NlaSvc                                       
svchost.exe                   2164 camsvc                                       
svchost.exe                   2228 DevQueryBroker                               
svchost.exe                   2340 netprofm                                     
svchost.exe                   2416 StateRepository                              
svchost.exe                   2456 DispBrokerDesktopSvc                         
svchost.exe                   2668 WinHttpAutoProxySvc                          
svchost.exe                   2716 SysMain                                      
svchost.exe                   2708 Themes                                       
svchost.exe                   2780 Dnscache                                     
svchost.exe                   2796 AudioEndpointBuilder                         
svchost.exe                   2804 FontCache                                    
svchost.exe                   2208 Winmgmt                                      
svchost.exe                   3112 Audiosrv                                     
svchost.exe                   3484 RmSvc                                        
svchost.exe                   3512 DusmSvc                                      
svchost.exe                   3520 Wcmsvc                                       
svchost.exe                   3684 WlanSvc                                      
svchost.exe                   3752 ShellHWDetection                             
svchost.exe                   4012 BFE, mpssvc                                  
svchost.exe                   4144 IKEEXT                                       
svchost.exe                   4152 PolicyAgent                                  
svchost.exe                   4192 LanmanWorkstation                            
svchost.exe                   4332 CertPropSvc                                  
svchost.exe                   4340 DiagTrack                                    
svchost.exe                   4348 DeviceAssociationService                     
svchost.exe                   4376 CryptSvc                                     
svchost.exe                   4400 DPS                                          
svchost.exe                   4512 iphlpsvc                                     
svchost.exe                   4592 Netman                                       
svchost.exe                   4724 SstpSvc                                      
svchost.exe                   4788 WdiServiceHost                               
svchost.exe                   4824 bthserv                                      
svchost.exe                   5000 stisvc                                       
svchost.exe                   5012 TrkWks                                       
svchost.exe                   5328 WpnService                                   
svchost.exe                   5480 LanmanServer                                 
svchost.exe                   6012 RasMan                                       
svchost.exe                   6664 SSDPSRV                                      
svchost.exe                   8156 DeviceInstall                                
svchost.exe                   8376 InstallService                               
svchost.exe                   8524 StorSvc                                      
svchost.exe                   2100 CDPUserSvc_1d9c93                            
svchost.exe                   4860 WpnUserService_1d9c93                        
svchost.exe                   1396 TabletInputService                           
svchost.exe                   1828 TokenBroker                                  
svchost.exe                   9376 CDPSvc                                       
svchost.exe                   9716 cbdhsvc_1d9c93                               
svchost.exe                  13008 Appinfo                                      
svchost.exe                  13868 lfsvc                                        
svchost.exe                  14732 PcaSvc                                       
svchost.exe                  13392 UsoSvc                                       
svchost.exe                  11308 DoSvc                                        
svchost.exe                   1432 wscsvc                                       
svchost.exe                   1584 OneSyncSvc_1d9c93,                           
                                   PimIndexMaintenanceSvc_1d9c93,               
                                   UnistoreSvc_1d9c93, UserDataSvc_1d9c93       
svchost.exe                  11164 LicenseManager                               
svchost.exe                   4756 DsSvc                                        
svchost.exe                   5544 QWAVE                                        
svchost.exe                  18912 CaptureService_1d9c93                        
svchost.exe                  17560 LxssManager                                  
svchost.exe                   5608 AppXSvc                                      
svchost.exe                  20784 gpsvc                                        
svchost.exe                  20632 icssvc                                       
